barcode;nama;harga
89686945003;Indomie Spageti Spicy Bolognese;3500
89686945010;Indomie Spageti Spicy Carbonara;3500
8993010000000;Indomilk Sachet Coklat (37gr);8500
8993010000000;Indomilk Sachet Creamy Original (37gr);8500
8992700000000;Indomilk Sci Coklat (190ml);4000
8992700000000;Indomilk Sci Stawberry (190ml);4000
6953150000000;Jamur Enoki New (500gr);5000
102734;Joday Double Scoop Chocolate Vanila;5500
102738;Joday Mochi Durian;3500
8991730000000;Joyday Choco Corn;4000
8991730000000;Joyday Choco Crunch;3500
8991730000000;Joyday Choco Malt;3500
8991730000000;Joyday Choco berry;2500
6907990000000;Joyday Cool Blueberry;3500
102733;Joyday Crunch Vanila Cookies (60ml);6500
6907990000000;Joyday Crunchy Chocolate Blueberry;5000
102716;Joyday Crunchy Double Chocolate;5500
102723;Joyday Crunchy Double Delight;5500
8991730000000;Joyday Cruncy Choco Lava;6500
8991730000000;Joyday Cruncy Cookies Cream;6500
6907990000000;Joyday Cruncy Sweet Stawberry;5500
6907990000000;Joyday Cruncy choco malt;5000
8991730000000;Joyday Es Susu;2500
8991730000000;Joyday Fruits Galaxy;2500
102748;Joyday Fruitti Frizz;4500
8991730000000;Joyday Kokomi;2500
102714;Joyday Lalava;3500
8991730000000;Joyday Mochi Coklat;3500
102713;Joyday Mochi Stawberry;3500
6907990000000;Joyday Sweet Corn;3500
102722;Joyday Vanilla Milkshake;5000
6907990000000;Joyday Water melon appel;2500
8997220000000;Kamil Bakso Sapi (250gr);17000
8997220000000;Kamil Bakso Sapi (750gr);48000
8997220000000;Kamil Sosis Bakar Ori Jumbo (500gr);35500
8997220000000;Kamil Sosis Bakar Ori Mini (500gr);32000
8993200000000;Kanzler Beef Cocktail (250gr);28500
8993200000000;Kanzler Beef Cocktail (500gr);55500
8993200000000;Kanzler Beef Wiener (360gr);45500
8993200000000;Kanzler Cheese Bratwurst (300gr);48000
8993200000000;Kanzler Cheese Cocktail (500gr);48500
8993200000000;Kanzler Chicken Corden Blue (300gr);50500
8993200000000;Kanzler Chicken Crispy Stik (450gr);42000
8993200000000;Kanzler Chicken Naget Crispy (250gr);25500
8993200000000;Kanzler Chicken Nugeet (450gr);41000
8993200000000;Kanzler Crispy Chicken Nugget (120gr);13500
8993200000000;Kanzler Crispy Chicken Nugget (450gr);42000
8993200000000;Kanzler Crispy Chicken Stik (250gr);25000
8993200000000;Kanzler Crispy Spicy Nugget (450gr);45000
8993200000000;Kanzler Single Baso Gochujang (60gr);8000
8993200000000;Kanzler Single Baso Hot (65gr);8000
8993200000000;Kanzler Single Baso Original (65gr);8500
8993200000000;Kanzler Single Gochujang (60gr);8000
8993200000000;Kanzler Single Sosis Keju (65gr);8500
8993200000000;Kanzler Singles Hot (65gr);8000
8993200000000;Kanzler Singles Original (65gr);8000
8993200000000;Kanzler Smok Beef (250gr);35500
8993200000000;Kanzler Sosis Blackpepper Frankfurter (300gr);41000
8993200000000;Kanzler Sosis Cheese Frankfurter (360gr);48000
8993200000000;Kanzler Sosis Frankfurter Cocktail (500gr);56000
102657;Kanzler Sosis Garlic Frankfurter (300gr);41000
123464;Kebab Frozen Pahlawan Spicy 10;27500
2763280000000;Kebab Mozzarella (8pcs);27000
711844000000;Kecap Asin ABC (135ml);4996
1234019;Kiko saus (1000);11000
8995560000000;Kimbo Heppi Sosis Ayam Ulir (40pcs);33000
8995560000000;Kimbo Heppii Sosis Bakar Mini (500gr);27000
8995560000000;Kimbo Mini Bratwurst (450gr);36000
102642;Kimbo Mini Bratwust Black Pepper 10 (500gr);31000
102643;Kimbo Mini Bratwust Keju 10 (500gr);31000
102644;Kimbo Sebaguna Cocktai merah Panjang (500gr);36500
8995560000000;Kimbo Sosis Mini Bratwurst '10;31000
8995560000000;Kimbo Sosis Sapi Cocktail (450gr);36000
8995560000000;Kimbo Sosis Sp Bratwurst (7pcs);31000
8997000000000;King Rolade Ayam (1000gr);31500
8997000000000;King Sosis Ayam 40 (1000gr);31500
1638500000000;Koki Panda Sumpit;9000
1234583;Korean Stik  Original (240gr);42500
1234584;Korean Stik Pottato (300gr);46000
123601;Kriwilan kebab;6000
123465;Kulit Dimsum Ori (250gr);7500
123466;Kulit Dimsum Warna (250gr);7500
1234564;Kulit Lumpia Bose;12500
123467;Kulit Lumpia Purnama;6500
123468;Kulitt Pangsit Kotak;4000
8997020000000;Lewis Bbq  F2 (310gr);11500
8997020000000;Lewis Cheese (250gr);13000
8997020000000;Lewis Chili A4 (500gr);7500
8997020000000;Lewis Chili A4 Pounch (1000gr);13000
102630;Lewis Extra Hot (200gr);7500
8997020000000;Lewis Extra Hot A7 (1kg);16500
8997020000000;Lewis Extra Hot A7 (500gr);10000
8997020000000;Lewis Mayo C1 (1kg);24000
8997020000000;Lewis Mayo C1 (500gr);12500
8997020000000;Lewis Mayo Hot Spicy (1000gr);27000
102632;Lewis Sambal Tempong (200gr);16000
8997020000000;Lewis Spaghety E3 (310gr);11500
8997020000000;Lewis Tomat B4 (500gr);6500
8997020000000;Lewis Tomato B4 (1Kg);12500
102631;Lewis tomat pouch (200gr);6500
123470;Mabell Mb Single Hot (60gr);7000
8998890000000;Maestro Mayonaise Pouch (180gr);10000
8998890000000;Maestro Mayonaise Pouch Premium (1kg);31500
8998890000000;Maestro Saus Mayo (1kg);21000
123471;Maestro Saus Mayo (500gr);12000
8998890000000;Maestro Thousand Island Stand  Pouch (180gr);9000
102719;Maestro Thousand Island Stand (1000gr);32500
8995100000000;Mamasuka Chicken Nugget Crunchy (150gr);15500
102633;Mamasuka Chicken Wings Cheese Buldak (200gr);28500
102634;Mamasuka Chicken Wings Korean Buldak (200gr);28500
123456782;Mamasuka Naget Ori (400gr);35500
8995100000000;Mamasuka Nugget (150gr);13500
8995100000000;Mamasuka Nugget Crunchy (400gr);38500
8995100000000;Mamasuka Odeng (100gr);10000
8995100000000;Mamasuka Spicy Wings (200gr);28500
8993200000000;Mamayo (500gr);16000
8993200000000;Mamayo Ori (1kg);25000
8993200000000;Mamayo Ori (200gr);7500
8997020000000;Max Max Sosis Selulose Ayam (500gr);17500
8997020000000;Max Selulose short 40 (1000gr);36000
8997020000000;Max Shoestring French Fries (1kg);32000
123473;Max Shoestring French Fries (2,5kg);72000
8992770000000;Mayumi Ori (100gr);8000
8992770000000;Mayumi Pedas (100gr);9000
8997010000000;Mazzoni Blackpapper (1kg);29000
8997010000000;Mazzoni Mayo (250gr);9000
8994450000000;Mazzoni Mayo Biru (500gr);13500
102661;Mazzoni Mayo Biru kg;24000
8997010000000;Mazzoni Mayo Ori (1kg);27000
123474;Mazzoni Red Hot (1kg);18000
